id,trans
filename,scene_chr527_q2_s10
info,scene_chr527_q2_s10
110,しかし、その顔には\n嬉しそうな笑みが\n浮かんでいるのであった。
109,羞恥で顔を真っ赤に\n染めるクラリス。
108,で、でも、その……\nあーんするのもされるのも\nなんかいい……かも。
107,ううっ……これ、\n思ってたよりも恥ずかしいね……
102,クラリスは口を開けると、\n差し出されたスプーンを口に含む。
101,あ、あーん。
96,（よ、よし、なら……）
95,（だから、あーんしても\n何の問題もない……よね？）
94,（そ、それにせっかく東海テイオーが\nうちにしてくれてるんだし……）
93,（ううっ、ここまでされたら、\nやらないわけにはいかない……よね？）
92,あううっ……
91-sel1_txt,クラリス、あーん
91,東海テイオーは首を横に振ると、\n自分のパフェをスプーンで掬い、\nクラリスの口元へと近づける。
90,う、うちはしてもいい……けど、\n東海テイオーが嫌なら……
89,え、えっと東海テイオー……\nその……どうする……の？
88,そう言うとカリオストロは\nルリアとビィを連れて、\n店から出ていく。
86,くく、クラリス、\n存分に楽しめよ。
85,これ以上、お前達の邪魔を\nするわけにはいかねぇからな。
84,それと、オレ様達は\nさっき言った通り店を変える。
83,と言うわけで、東海テイオー。\nクラリスにあーんしてやれ。
82,そう言うとカリオストロは\n互いに食べさせ合っている\nカップルのほうへと視線を向ける。
81,こういうのは互いに\n食べさせ合うもんだろ？\nあそこの客みたいにな。
80,ちょっ、ししょー！？\nいきなり、何、言ってっ！？
79,なら、東海テイオー。\n次は東海テイオーがクラリスに\nあーんをしてやれ。
78,そういや、さっきはクラリスが\n東海テイオーにあーんを\nしたんだったな。
77,さ、さっきのだって、\n雰囲気に流されて、\nしちゃっただけだし……
76,な、何、言ってんのししょーっ！\n続きなんて、できるわけないじゃん！
74,オレ様達は店を変える。\n気にせず続きを楽しんでくれ。
73,くくく……\n邪魔するつもりはなかったんだがな。
72,み、みんな……なんでここに……\nっていうか、もしかして\n見て……た？
71,その後、クラリスは恐る恐る\n声のほうへと振り向く。
70,スプーンを持ったまま\n硬直するクラリス。
69,ほぉ……\nこれはお楽しみだったみたいだな。
68,あ、本当です。\nクラリスさん達も休憩ですか？
67,ん？　クラリスじゃねぇか？
66,（ううっ、す、すっごい恥ずかしい……\nうち、絶対、今、顔、\n真っ赤になってる……）
65,（ううっ……ほ、本当に\n東海テイオーにあーんしちゃった……）
64,差し出されたスプーンを口に含む。
63,～～～～～～っっ！
62,クラリスは震える手で\nパフェをスプーンで掬い、\n東海テイオーの口元へと近づける。
61,（うぇぇぇ！\nもう退けない～！！）
59-sel1_txt,あーん
59,そう言うとクラリスは\n互いに食べさせ合っている\nカップルのほうへと視線を向ける。
58,あ、あのさ、東海テイオー。\nそのー……うちらも、\nアレ、やってみない？
57,（うん……\nだったら……！）
56,（ししょーはデートを\n存分に楽しんでこいって\n言ってた……）
55,東海テイオー達の前に\n注文の品を置くと\n店員は微笑を浮かべ去っていく。
53,お待たせいたしました。\nご注文のパフェと珈琲になります。
52,ひとり、考え込むクラリス。\nそこに店員が\n注文した品を運んでくる。
51,（うわっ、あそこの人達、\nあーんなんてしてる……\nゴクリ……）
50,（うう……\nあっち見てもこっち見ても、\nカップルばっか……）
49,しかし、バレンタインが近いせいか、\n店内の席のほとんどは\nカップルで埋め尽くされていた。
48,店員に案内され、\n店内の適当な席に腰を下ろす\n東海テイオーとクラリス。
42,その言葉に東海テイオーが頷くと、\nクラリス達は\n近くにあった喫茶店に入る。
41,うち、のど渇いちゃって……
40,あのさ、東海テイオー。\nその……買いたいものも買ったし、\n休憩がてらお茶しない？
39,（ううっ、思い出したら、\nまた顔が熱くなってきた……）
38,（う、うち、東海テイオーと\n手を繋いでたんだよね……）
37-sel1_txt,気にしないで
37,クラリスは、\n東海テイオーの手を離すと\n慌てて頭を下げる。
36,うち、東海テイオーの手、\n掴んだままで……
35,ご、ごめん、東海テイオー！
34,ひゃいっ！？
33,そこで東海テイオーと\n繋いだままの手に気づいた。
32,そっと東海テイオーの方に\n視線を向けるクラリス。
31,（東海テイオーはどうなのかな？\nうちとそんなカンジで見られて\n嫌だったりしない……かな？）
30,（ちょっと……嬉しいかも）
29,（カ、カップルって……\nすっごい恥ずかしい……\nけど……)
28,ううっ……
25,そして、クラリスは品物を受け取ると、\n東海テイオーの手を掴み、逃げるように\n店の外へと飛び出していくのだった。
24,つ、次！　\n次いこう！　東海テイオー！
23,カップルという言葉を聞いた瞬間、\nクラリスの顔は湯気が出そうなほど、\n真っ赤に染まる。
22,っっっっっっっ！！
21,カ、カ、カ、カップル……\nう、うちと東海テイオーが……
20,特別におまけしておいたよ。\nチョコ作り、頑張ってね。
19,あはは、本当に初々しいカップルだね。
18,その様子を見て、\n買った品物を梱包し終えた店員は、\n眩しそうに笑みを作る。
17,真っ赤になった表情で\nそう告げるクラリス。
16,そ、その……お礼に\nバレンタインには東海テイオーの\n好きな味のチョコ……贈るね。
15,ふむふむ……\n教えてくれてありがと、\n東海テイオー☆
14,んん……\nチョコに合う果物かぁ……
13,うちなら、\nみかん一択なんだけど……
12,なるほど……\n果物をいれたチョコかぁ……
11,果物とか中に入ってるとさ\n酸っぱいのと甘いのが混じって\n絶妙な味になるんだよねー
10,そーなんだ！\nなら、うちと一緒だね☆
8,ううっ、シンプルに\nチョコそのものの味で勝負かぁ……\n頑張らないと……っ！
7,へ、へぇー……\n東海テイオーはシンプルな方が\n好きなんだ。
5-sel2_txt,中に果物が入ってるのが好き
5-sel1_txt,シンプルなチョコが好き\n
5,東海テイオーはさ、\nチョコ……どんなのが好き？\nチョコも色々あるじゃん……？
4,ね、ねぇ、東海テイオー、\nその……ひとつ聞いていい？
3,（東海テイオーのチョコの好みを\n聞き出さないと……）
2,え、えっと……あと、必要な物は……\nって、そうだ……
1,クラリス達はチョコレートを作るのに\n必要な調味料などを求めて、\nとある店を訪れていた。
0-synopsis,買い物をしながら東海テイオーのチョコレートの好みを聞き出したクラリスは、休憩のため喫茶店に立ち寄ると、店内でカップルが互いに食べさせ合う姿を真似してみようと提案する。その場に偶然やって来たカリオストロに発破をかけられ、東海テイオーにパフェを食べさせてもらったクラリスは、羞恥に顔を真っ赤に染めながらも、嬉しそうな笑みを浮かべるのだった。
0-chapter_name,うち、頑張ります！